,id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
149356,1e4ef9a59c291947b10235e1cca11435,318300,PEBO,Deborah K. Hill,"Executive Vice President, Consumer and Business Financial Services",2008,18200060667,30000,30135,4436,0,10127,256698,
149356,1e4ef9a59c291947b10235e1cca11435,318300,PEBO,Deborah K. Hill,"Executive Vice President, Consumer and Business Financial Services",2008,18200060667,30000,30135,4436,0,10127,256698,
156137,7abfbdf1e47c867e207a31977e4e9ed3,1262976,CMPR,Maarten Wensveen,Executive Vice President and Chief Technology Officer,2020,53076942,0,2554745,0,0,33535,3119049,
31249,cf335773b422f0d4a104f0c5eaa87580,912595,MAA,"H. Eric Bolton, Jr.",CEO all years,2012,49487881,500,248000,0,992000,1484642,175022523,
31254,0d946ec86fe6c30743d0da932455dec2,912595,MAA,"H. Eric Bolton, Jr.",CEO all years,2011,45935009,500,34916766,0,729455,3345902,157193177,
31257,6ed8efd25a4f5766004b0f98bd5e93a4,912595,MAA,"H. Eric Bolton, Jr.",CEO all years,2010,42980096,500,287544,0,655953,3688873,141068669,
31262,6d5d921d186fd2679101a0c8b9092dd0,912595,MAA,"H. Eric Bolton, Jr.",CEO,2009,40775306,500,0,0,815506,235288,122611194,
31264,632183588d904371bff19c6603b68ecc,912595,MAA,"H. Eric Bolton, Jr.",CEO,2008,40413391,0,500,538234,0,0,118386973,
31272,96badbfb7e78085701d94df7dae13bf0,912595,MAA,"H. Eric Bolton, Jr.",CEO,2007,38939094,0,500,82663,0,862554,151011934,0.0
152655,e02ab7e7f1b1c47fdcb0293fac5e2905,947559,FBMS,"M. Ray Hoppy Cole, Jr.",President and Chief Executive Officer,2017,38617277,0,39631865,0,8028660,2148093,93929895,
31273,11d63a5cbe32b2645df380459700d055,912595,MAA,"H. Eric Bolton, Jr.",CEO,2006,37826292,0,500,688355,0,456780,119653673,0.0
152654,4e03ab728f4ad6b95fb56818f0e91f7c,947559,FBMS,"M. Ray Hoppy Cole, Jr.",President and Chief Executive Officer,2016,36037437,0,18366790,0,0,4450455,101251482,
152658,3915b5d4a75a73265cac6c18f72613e2,947559,FBMS,M. Ray Hoppy Cole,"Jr., President and Chief Executive Officer",2016,36037437,0,18366790,0,0,7326255,61730482,
152659,2dbaf4ef99e8f2bb117d8ac78987d7d3,947559,FBMS,"M. Ray Hoppy Cole, Jr.",President and Chief Executive Officer,2015,30999941,0,12295530,0,0,3675348,49917219,
152659,88e9acc0d3372fb75c1368449dab4ab7,947559,FBMS,M. Ray Hoppy Cole,"Jr., President and Chief Executive Officer",2015,30999941,0,12295530,0,0,5836248,49131719,
31250,babb5bf50b72707019503b1a97dd75cd,912595,MAA,Albert M. Campbell,III EVP and CFO all years,2012,30313640,500,103700,0,305000,1531740,72765380,
31249,3a3eb0de2c4a1d4eb36b83b8d025035a,912595,MAA,"Thomas L. Grimes, Jr.",EVP and COO EVP and Director of Property Management Operations prior years,2012,29781331,500,102000,0,300000,932046,70963377,
56734,e2b646926935df037e8019534809741a,1084580,JEF,related,Total Total Peregrine C. Broadbent,2012,29249995,0,0,0,0,0,9749994,
152667,e40890cc3d6170caf6f324635a2e1f06,947559,FBMS,M. Ray Hoppy Cole,"Jr., President and Chief Executive Officer",2014,28927221,0,14537248,0,0,3648649,47113118,
136571,f42f5b881603ce40038f95ec746503d8,798359,CSR,Timothy P. Mihalick,"Senior Vice President and Chief Operating Officer, and Trustee",2007,28399927,0,0,0,82436,3091931,39735458,
152671,28796865d186e093fbfcffc68c6317b9,947559,FBMS,M. Ray Hoppy Cole,"Jr., President and Chief Executive Officer",2013,26918832,0,11238980,0,0,3614791,41772603,0.0
31258,1daf5cfbd7d3529f3ff9c093d368e5ff,912595,MAA,Simon R. C.,Wadsworth EVP and CFO,2009,26590694,500,0,0,531814,153545,79975639,
31261,03491b75e1fd29344a494bca32ccd4d0,912595,MAA,Simon R.C. Wadsworth,EVP and CFO,2008,26354689,0,500,372270,0,0,80851215,
31265,6e1662ecad04812ec6eca9b4def75e58,912595,MAA,Simon R. C.,Wadsworth EVP and CFO,2008,26354689,500,49039961,0,372270,6933258,119604908,
